Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
1:35:27,69800,-0.4152,-0.1329,0.0690,0.0042,2.7387,0.1800,0.0470,0.0086,2.7423,0.0365
1:35:31,69900,-0.7089,0.1794,0.0930,0.0041,2.7823,-0.1629,0.0553,0.0051,2.7311,0.0382
1:35:36,70000,-0.5891,-0.0977,0.0153,0.0065,2.8129,0.1235,0.0554,0.0176,2.7728,0.0435
1:39:03,70100,-0.5652,-0.0039,0.1209,0.0051,2.7324,0.0438,0.0477,0.0235,2.6993,0.0392
1:39:08,70200,-0.3572,-0.2017,0.1922,0.0066,2.6835,0.1744,0.0525,0.0190,2.7150,0.0396
1:39:12,70300,-0.2872,-0.2548,0.0786,0.0103,2.7268,0.2982,0.0450,0.0403,2.6936,0.0371
1:39:16,70400,-0.5349,0.0932,0.2634,0.0125,2.8162,-0.1050,0.0470,0.0970,2.8154,0.0372
1:39:21,70500,-0.4701,-0.0184,0.0798,0.0059,2.6363,0.1189,0.0548,0.1478,2.7266,0.0384
1:39:25,70600,-0.5252,0.0775,0.1428,0.0038,2.8142,-0.0748,0.0572,0.0134,2.8122,0.0349
1:39:30,70700,-0.5745,0.1626,0.2348,0.0032,2.8637,-0.1259,0.0523,0.0870,2.8255,0.0382
1:39:34,70800,-0.4865,0.0356,0.2530,0.0039,2.8752,-0.0402,0.0468,0.0984,2.8581,0.0387
1:39:39,70900,-0.5626,0.0562,0.2373,0.0033,2.6203,-0.0356,0.0519,0.0458,2.6638,0.0379
1:39:43,71000,-0.4699,-0.0639,0.0522,0.0143,2.8180,0.1099,0.0538,0.0867,2.8509,0.0388
1:40:10,71100,-0.3624,-0.2061,0.0049,0.0081,2.9645,0.1475,0.0590,0.0040,2.9817,0.0425
1:40:14,71200,-0.8333,0.3068,0.3328,0.0018,2.5673,-0.2615,0.0541,0.8188,2.6686,0.0410
1:40:19,71300,-0.4136,0.0565,0.0799,0.0027,2.7053,-0.0713,0.0462,0.0102,2.7342,0.0365
1:40:23,71400,-0.2630,-0.1874,0.1774,0.0026,2.9168,0.1462,0.0512,0.0083,2.7233,0.0381
1:40:27,71500,-0.5010,0.0026,0.3418,0.0034,2.7068,0.0212,0.0499,0.0130,2.7606,0.0354
1:40:32,71600,-0.5379,-0.0908,0.1970,0.0074,2.7947,0.2199,0.0661,0.2173,2.7736,0.0469
1:40:37,71700,-0.6504,0.1494,0.0115,0.0066,2.6701,-0.1038,0.0525,0.0066,2.6915,0.0395
1:40:41,71800,-0.7543,0.1631,0.3312,0.0070,2.8775,-0.1990,0.0568,0.1098,2.9283,0.0435
1:40:45,71900,-0.5514,0.1005,0.0252,0.0064,2.8371,-0.0766,0.0487,0.1126,2.7746,0.0434
1:40:50,72000,-0.6057,0.1624,0.1163,0.0044,2.8636,-0.1833,0.0564,0.0551,2.8246,0.0439
1:41:15,72100,-0.3703,-0.1275,0.0981,0.0060,2.7584,0.1703,0.0593,0.0193,2.7514,0.0419
1:41:20,72200,-0.7394,0.1836,0.0379,0.0044,2.6528,-0.1122,0.0560,0.0377,2.6467,0.0431
1:41:24,72300,-0.4378,-0.2185,0.0038,0.0080,2.7112,0.2338,0.0606,0.0553,2.6920,0.0480
1:41:29,72400,-0.7268,0.2393,0.0253,0.0044,2.7620,-0.2221,0.0539,0.0237,2.6597,0.0380
1:41:33,72500,-0.7064,0.3045,0.0868,0.0040,2.7703,-0.2949,0.0503,0.0429,2.7226,0.0380
1:41:37,72600,-0.6096,0.0394,0.1112,0.0055,2.7484,0.0184,0.0615,0.0908,2.8213,0.0446
1:41:42,72700,-0.7047,0.0050,0.0492,0.0041,2.9150,-0.0186,0.0639,0.0858,2.9423,0.0456
1:41:47,72800,-0.4696,0.0509,0.0079,0.0064,2.7728,-0.0089,0.0651,0.0018,2.7765,0.0402
1:41:51,72900,-0.5422,0.0838,0.1309,0.0059,2.8896,-0.0794,0.0481,0.2191,2.7758,0.0333
1:41:56,73000,-0.7756,0.2012,0.0794,0.0054,2.7760,-0.1248,0.0543,0.1572,2.7387,0.0436
1:42:21,73100,-1.0799,0.3287,0.0117,0.0056,2.7825,-0.2490,0.0655,0.0542,2.7722,0.0404
1:42:26,73200,-0.7887,-0.3934,0.0670,0.0096,2.7627,0.4693,0.0624,0.2856,2.7158,0.0602
1:42:30,73300,-0.5277,-0.0450,0.1585,0.0122,2.7459,0.0368,0.0559,0.0456,2.7113,0.0441
1:42:34,73400,-0.5666,0.0339,0.2060,0.0052,2.7690,-0.0132,0.0504,0.2052,2.7682,0.0433
1:42:39,73500,-0.2795,-0.5634,0.0092,0.0062,2.9100,0.5641,0.0628,0.1483,2.8758,0.0480
1:42:43,73600,-0.3456,-0.1283,0.0618,0.0046,2.7835,0.1789,0.0591,0.0662,2.7997,0.0450
1:42:48,73700,-0.5061,-0.0933,0.0364,0.0169,3.0867,0.2261,0.0651,0.0069,3.0409,0.0451
1:42:52,73800,-0.9364,0.1772,0.1006,0.0063,2.7710,-0.1564,0.0584,0.0719,2.8317,0.0473
1:42:57,73900,-0.6074,-0.1639,0.0518,0.0075,2.8512,0.1545,0.0553,0.4180,2.8526,0.0476
1:43:01,74000,-0.4641,-0.0574,0.2264,0.0109,2.7570,0.1230,0.0464,0.0156,2.7642,0.0392
1:43:28,74100,-0.8542,-0.1382,0.1155,0.0013,2.6169,0.1725,0.0657,0.5417,2.5466,0.0618
1:43:32,74200,-0.7320,0.0933,0.0185,0.0018,2.7698,-0.1135,0.0470,0.0245,2.6488,0.0393
1:43:37,74300,-0.2737,-0.2108,0.0402,0.0046,2.7371,0.2413,0.0576,0.0687,2.6591,0.0399
1:43:41,74400,-0.5172,-0.2382,0.0098,0.0095,2.9508,0.2668,0.0712,0.0400,2.8208,0.0444
1:43:46,74500,-0.7453,0.2872,0.2706,0.0052,2.8256,-0.3344,0.0573,0.0242,2.8006,0.0471
1:43:50,74600,-0.7488,0.2397,0.1107,0.0035,2.7803,-0.2455,0.0520,0.0226,2.7234,0.0429
1:43:54,74700,-0.7930,0.0574,0.0018,0.0091,2.9075,-0.0151,0.0567,0.0374,3.0019,0.0441
1:43:59,74800,-0.5888,0.0533,0.0999,0.0038,2.6584,0.0456,0.0571,0.0089,2.7416,0.0488
1:44:03,74900,-0.9888,0.2465,0.0948,0.0087,2.7635,-0.1938,0.0572,0.0399,2.8515,0.0464
1:44:08,75000,-0.3996,-0.0546,0.0276,0.0037,2.8735,0.0173,0.0574,0.0508,2.8777,0.0445
1:44:34,75100,-0.6867,0.0956,0.0462,0.0033,2.7806,-0.0929,0.0534,0.1181,2.7635,0.0410
1:44:39,75200,-0.2423,-0.4275,0.0300,0.0100,2.8088,0.3233,0.0466,0.0555,2.8162,0.0437
1:44:43,75300,-0.7083,-0.0177,0.2910,0.0050,2.8072,0.0274,0.0569,0.0608,2.7831,0.0459
